"Subj"	"Order"	"GOOD"	"GC"	"GC1"	"GC2"	"BAD"	"BC"
28	1	"kindness"	"kind"	"kind"	"kind"	"drinking alcohol"	"alcohol"
134	2	"polite"	"kind"	"kind"	"kind"	"drunk"	"alcohol"
218	1	"Generous"	"kind"	"kind"	"kind"	"tendency toward alcohol"	"alcohol"
133	5	"kind"	"kind"	"kind"	"kind"	"takes more than needed"	"blabberer"
4	4	"kindness"	"kind"	"kind"	"kind"	"boastful"	"conceit"
105	7	"generous"	"kind"	"kind"	"kind"	"covetousness"	"covetousness"
40	6	"Generous"	"kind"	"kind"	"kind"	"cruel"	"cruel"
5	1	"kindness"	"kind"	"kind"	"kind"	"impudent"	"disrespect"
19	2	"kind"	"kind"	"kind"	"kind"	"envy"	"envious"
216	2	"Generous"	"kind"	"kind"	"kind"	"gossip/slander"	"gossip"
2	2	"kindness"	"kind"	"kind"	"kind"	"greediness"	"greedy"
21	2	"kind"	"kind"	"kind"	"kind"	"greedy"	"greedy"
11	4	"kindness"	"kind"	"kind"	"kind"	"stupidity"	"lacks knowledge"
23	1	"politeness"	"kind"	"kind"	"kind"	"they've forgotten their traditions"	"lacks knowledge"
17	2	"kind"	"kind"	"kind"	"kind"	"laziness"	"lazy"
27	1	"kind-heartedness"	"kind"	"kind"	"kind"	"laziness"	"lazy"
230	5	"sensitive to others"	"kind"	"kind"	"kind"	"lazy"	"lazy"
9	2	"nice"	"kind"	"kind"	"kind"	"low level of culture"	"lacks knowledge"
10	3	"polite"	"kind"	"kind"	"kind"	NA	NA
22	2	"kind"	"kind"	"kind"	"kind"	NA	NA
122	4	"sensitive"	"kind"	"kind"	"kind"	NA	NA
127	1	"Polite"	"kind"	"kind"	"kind"	NA	NA
223	2	"Generous"	"kind"	"kind"	"kind"	"smokes"	"smokes"
1	4	"kind"	"kind"	"kind"	"kind"	"falsity"	"untrustworthy"
6	1	"kindness"	"kind"	"kind"	"kind"	"falsity"	"untrustworthy"
7	3	"kindness"	"kind"	"kind"	"kind"	"theft"	"steal"
8	3	"kind-hearted"	"kind"	"kind"	"kind"	"falsity"	"untrustworthy"
18	4	"kindness"	"kind"	"kind"	"kind"	"falsity"	"untrustworthy"
24	2	"kindness"	"kind"	"kind"	"kind"	"falsity"	"untrustworthy"
25	2	"kind-heartedness"	"kind"	"kind"	"kind"	"falsity"	"untrustworthy"
29	1	"not cruel"	"kind"	"kind"	"kind"	"liar"	"untrustworthy"
36	15	"belief that one should always learn"	"learn"	"learn"	"learn"	NA	NA
224	4	"looking ahead"	"looking forward"	"looking forward"	"looking forward"	"impudent"	"disrespect"
2	8	"foresight"	"looking forward"	"looking forward"	"looking forward"	"stupidity"	"lacks knowledge"
5	5	"foresight"	"looking forward"	"looking forward"	"looking forward"	NA	NA
131	3	"loves strongly"	"loving"	"loving"	"loving"	"remiss"	"reckless"
129	4	"mindful"	"mindful"	"mindful"	"mindful"	"steals"	"steal"
29	6	"?????, ????? ??????"	"miscellaneous"	"miscellaneous"	"miscellaneous"	"cruel"	"cruel"
201	3	"quick"	"miscellaneous"	"miscellaneous"	"miscellaneous"	"impudent"	"disrespect"
1	2	"???"	"miscellaneous"	"miscellaneous"	"miscellaneous"	"drugs"	"drugs"
39	5	"need to commit misconduct"	"miscellaneous"	"miscellaneous"	"miscellaneous"	NA	NA
122	5	"mild-mouthed"	"miscellaneous"	"miscellaneous"	"miscellaneous"	NA	NA
2	4	"modest"	"modest"	"modest"	"modest"	"alchohol"	"alcohol"
8	1	"modest"	"modest"	"modest"	"modest"	"alchoholism"	"alcohol"
38	4	"Modest"	"modest"	"modest"	"modest"	"Drinks"	"alcohol"
122	1	"Modest"	"modest"	"modest"	"modest"	"drinks"	"alcohol"
201	1	"Modest"	"modest"	"modest"	"modest"	"drinks"	"alcohol"
203	1	"Modest"	"modest"	"modest"	"modest"	"drinks"	"alcohol"
125	2	"soft"	"modest"	"modest"	"modest"	"angry"	"angry"
207	3	"Modest"	"modest"	"modest"	"modest"	"Blabberer"	"blabberer"
209	4	"Modest"	"modest"	"modest"	"modest"	"Blabberer"	"blabberer"
212	4	"Modest"	"modest"	"modest"	"modest"	"takes more than needed"	"blabberer"
6	2	"modest"	"modest"	"modest"	"modest"	"captation"	"conceit"
21	4	"modest"	"modest"	"modest"	"modest"	"captation"	"conceit"
207	4	"soft"	"modest"	"modest"	"modest"	"shy/cowardly"	"cowardice"
207	2	"Modest"	"modest"	"modest"	"modest"	"cruel"	"cruel"
129	2	"soft"	"modest"	"modest"	"modest"	"scrubby/dirty"	"dirty"
128	3	"modest/good soul"	"modest"	"modest"	"modest"	"not respectful of nation"	"disrespect nation"
202	5	"Modest"	"modest"	"modest"	"modest"	"not respecting nation"	"disrespect nation"
210	1	"soft"	"modest"	"modest"	"modest"	"impudent"	"disrespect"
230	3	"Modest"	"modest"	"modest"	"modest"	"envious"	"envious"
25	5	"modest"	"modest"	"modest"	"modest"	"gossip"	"gossip"
15	2	"modest"	"modest"	"modest"	"modest"	"too much love for money"	"greedy"
34	1	"modest"	"modest"	"modest"	"modest"	"greediness"	"greedy"
120	1	"Modest"	"modest"	"modest"	"modest"	"lazy"	"lazy"
10	1	"modest"	"modest"	"modest"	"modest"	NA	NA
40	8	"Modest"	"modest"	"modest"	"modest"	NA	NA
208	4	"soft"	"modest"	"modest"	"modest"	NA	NA
210	6	"Modest"	"modest"	"modest"	"modest"	NA	NA
228	5	"soft"	"modest"	"modest"	"modest"	NA	NA
20	5	"modest"	"modest"	"modest"	"modest"	"onsonscientiousness"	"careless"
26	2	"modest"	"modest"	"modest"	"modest"	"smoking cigarrettes"	"smokes"
209	2	"soft"	"modest"	"modest"	"modest"	"smokes"	"smokes"
19	4	"modest"	"modest"	"modest"	"modest"	"falsity"	"untrustworthy"
116	2	"soft"	"modest"	"modest"	"modest"	"liar"	"untrustworthy"
206	2	"Modest"	"modest"	"modest"	"modest"	"liar"	"untrustworthy"
208	3	"Modest"	"modest"	"modest"	"modest"	"liar"	"untrustworthy"
216	3	"Modest"	"modest"	"modest"	"modest"	"liar"	"untrustworthy"
221	1	"Modest"	"modest"	"modest"	"modest"	"liar"	"untrustworthy"
225	1	"Modest"	"modest"	"modest"	"modest"	"liar"	"untrustworthy"
16	3	NA	NA	NA	NA	"alcohol"	"alcohol"
206	5	NA	NA	NA	NA	"drunk"	"alcohol"
105	15	NA	NA	NA	NA	"angry"	"angry"
135	7	NA	NA	NA	NA	"doesn't pursue knowledge"	"apathetic"
16	5	NA	NA	NA	NA	"making bad things"	"bad (behavior)"
230	6	NA	NA	NA	NA	"dark conscience/black hearted"	"bad (mental)"
4	8	NA	NA	NA	NA	"talkativeness"	"blabberer"
226	8	NA	NA	NA	NA	"careless with words"	"blabberer"
16	6	NA	NA	NA	NA	"hard-heartedness"	"cold"
7	11	NA	NA	NA	NA	"egoism"	"conceit"
7	13	NA	NA	NA	NA	"vainglory"	"conceit"
18	6	NA	NA	NA	NA	"captation"	"conceit"
21	7	NA	NA	NA	NA	"vainglory"	"conceit"
105	13	NA	NA	NA	NA	"think of ones self"	"conceit"
105	14	NA	NA	NA	NA	"Arrogant"	"conceit"
130	7	NA	NA	NA	NA	"boastful"	"conceit"
18	8	NA	NA	NA	NA	"cowardice"	"cowardice"
21	6	NA	NA	NA	NA	"cowardice"	"cowardice"
25	7	NA	NA	NA	NA	"nervous; irascibility"	"angry"
1	11	NA	NA	NA	NA	"cruelty"	"cruel"
120	3	NA	NA	NA	NA	"cruel"	"cruel"
134	7	NA	NA	NA	NA	"derisive"	"cruel"
1	14	NA	NA	NA	NA	"dirty"	"dirty"
120	4	NA	NA	NA	NA	"scrubby/dirty"	"dirty"
126	8	NA	NA	NA	NA	"scrubby/dirty"	"dirty"
1	9	NA	NA	NA	NA	"disrespect"	"disrespect"
3	9	NA	NA	NA	NA	"disrespect"	"disrespect"
135	5	NA	NA	NA	NA	"not respecting customs/rites"	"disrespect customs"
203	6	NA	NA	NA	NA	"not respecting children and grandparents"	"disrespect"
224	7	NA	NA	NA	NA	"no customs"	"disrespect customs"
1	10	NA	NA	NA	NA	"envy"	"envious"
21	8	NA	NA	NA	NA	"envy"	"envious"
126	6	NA	NA	NA	NA	"envious"	"envious"
204	8	NA	NA	NA	NA	"envious"	"envious"
205	6	NA	NA	NA	NA	"envious"	"envious"
1	12	NA	NA	NA	NA	"greediness"	"greedy"
211	6	NA	NA	NA	NA	"impatient"	"impatient"
30	4	NA	NA	NA	NA	"irresponsible"	"irresponsible"
220	5	NA	NA	NA	NA	"not responsible"	"irresponsible"
9	7	NA	NA	NA	NA	"naivete"	"lacks knowledge"
105	12	NA	NA	NA	NA	"stupid"	"lacks knowledge"
1	8	NA	NA	NA	NA	"laziness"	"lazy"
3	8	NA	NA	NA	NA	"laziness"	"lazy"
23	4	NA	NA	NA	NA	"laziness"	"lazy"
123	6	NA	NA	NA	NA	"doesn’t help parents"	"unhelpful"
135	6	NA	NA	NA	NA	"lazy"	"lazy"
204	7	NA	NA	NA	NA	"lazy"	"lazy"
16	1	NA	NA	NA	NA	"murder"	"murder"
4	9	NA	NA	NA	NA	NA	NA
14	1	NA	NA	NA	NA	NA	NA
14	2	NA	NA	NA	NA	NA	NA
14	3	NA	NA	NA	NA	NA	NA
14	4	NA	NA	NA	NA	NA	NA
14	5	NA	NA	NA	NA	NA	NA
32	1	NA	NA	NA	NA	NA	NA
215	4	NA	NA	NA	NA	NA	NA
215	5	NA	NA	NA	NA	NA	NA
23	5	NA	NA	NA	NA	"they leave their children, don't pay attention to them"	"no family connection"
229	7	NA	NA	NA	NA	"vagabond"	"no family connection"
8	9	NA	NA	NA	NA	"absence of religiosity"	"not religious"
11	10	NA	NA	NA	NA	"intrepidity of doing anything"	"reckless"
7	12	NA	NA	NA	NA	"humiliation"	"self-abasement"
18	7	NA	NA	NA	NA	"self-abasement, self-disparagement"	"self-abasement"
28	8	NA	NA	NA	NA	"self-abasement before people of other nations"	"self-abasement"
1	13	NA	NA	NA	NA	"cigarrettes"	"smokes"
3	7	NA	NA	NA	NA	"theft"	"steal"
16	2	NA	NA	NA	NA	"theft"	"steal"
134	8	NA	NA	NA	NA	"suck-up/ass-kiss"	"suck-up"
216	6	NA	NA	NA	NA	"suck-up/ass-kiss"	"suck-up"
3	6	NA	NA	NA	NA	"falsity"	"untrustworthy"
16	4	NA	NA	NA	NA	"falsity"	"untrustworthy"
24	5	NA	NA	NA	NA	"sly"	"untrustworthy"
102	7	NA	NA	NA	NA	"not honest"	"untrustworthy"
126	7	NA	NA	NA	NA	"liar"	"untrustworthy"
132	6	NA	NA	NA	NA	"cunning"	"untrustworthy"
226	9	NA	NA	NA	NA	"back-biting"	"untrustworthy"
8	4	"patriotic"	"nation"	"traditions"	"traditions/family"	"self-interest"	"conceit"
40	1	"love of homeland"	"nation"	"traditions"	"traditions/family"	"Arrogant"	"conceit"
9	3	"patriotic"	"nation"	"traditions"	"traditions/family"	"cruelty"	"cruel"
203	5	"devoted to your homeland"	"nation"	"traditions"	"traditions/family"	"impudent"	"disrespect"
125	6	"respect for homeland and protection of nature; "	"nation"	"traditions"	"traditions/family"	"greediness"	"greedy"
119	4	"love of homeland"	"nation"	"traditions"	"traditions/family"	"not knowing homeland’s language"	"disrespect nation"
6	9	"love for native Tuva"	"nation"	"traditions"	"traditions/family"	NA	NA
12	7	"love for native land and people"	"nation"	"traditions"	"traditions/family"	NA	NA
103	6	"love of homeland"	"nation"	"traditions"	"traditions/family"	NA	NA
225	4	"loves homeland"	"nation"	"traditions"	"traditions/family"	NA	NA
213	3	"love of homeland"	"nation"	"traditions"	"traditions/family"	"turning your back on Tuvan people"	"disrespect nation"
229	6	"not commit misconduct"	"not bad"	"not bad"	"not bad"	"parasite, "	"parasite"
118	4	"greediness not"	"not greedy"	"not greedy"	"not greedy"	"not respecting parents’ and family’s rites"	"disrespect"
3	5	"not to steal"	"not greedy"	"not greedy"	"not greedy"	"envy"	"envious"
125	7	"greediness not"	"not greedy"	"not greedy"	"not greedy"	"envious"	"envious"
130	3	"envious not"	"not greedy"	"not greedy"	"not greedy"	"envious"	"envious"
36	11	"not greedy"	"not greedy"	"not greedy"	"not greedy"	"always wanting whatever one sees"	"greedy"
130	2	"greedy not"	"not greedy"	"not greedy"	"not greedy"	"greedy"	"greedy"
11	8	"not being greedy"	"not greedy"	"not greedy"	"not greedy"	"irresponsible (not to educate children)"	"disrespect"
39	4	"not going the thieves’ way"	"not greedy"	"not greedy"	"not greedy"	NA	NA
29	9	"patient"	"patient"	"patient"	"patient"	"doesn’t grow"	"apathetic"
131	4	"patient"	"patient"	"patient"	"patient"	NA	NA
11	6	"hatred against shame"	"principled"	"principled"	"principled"	"lack of purpose"	"apathetic"
40	4	"Principled"	"principled"	"principled"	"principled"	"Blabberer"	"blabberer"
105	11	"noble"	"principled"	"principled"	"principled"	"shy/cowardly"	"cowardice"
11	3	"hatred against falsehood"	"principled"	"principled"	"principled"	"cruelty"	"cruel"
101	4	"not influenced by bad things"	"principled"	"principled"	"principled"	"two-faced"	"untrustworthy"
122	3	"protecting little things"	"protective of nature"	"protective of nature"	"protective of nature"	"envious"	"envious"
36	14	"protection of animals"	"protective of nature"	"protective of nature"	"protective of nature"	NA	NA
119	3	"protection of nature way/path"	"protective of nature"	"protective of nature"	"protective of nature"	"not protecting nature"	"not connected to nature"
24	4	"purposefulness"	"purposefulness"	"purposefulness"	"purposefulness"	"cruelty"	"cruel"
19	5	"purposefulness"	"purposefulness"	"purposefulness"	"purposefulness"	"murder"	"murder"
4	2	"purposefulness"	"purposefulness"	"purposefulness"	"purposefulness"	"slyness"	"untrustworthy"
202	1	"religious believing"	"religion"	"traditions"	"traditions/family"	"drinks too much"	"alcohol"
125	8	"respectful of family’s customs/rites"	"religion"	"traditions"	"traditions/family"	"boastful"	"conceit"
31	3	"Buddhist, knows the yellow religion well"	"religion"	"traditions"	"traditions/family"	NA	NA
118	5	"respecting parents and family’s rites"	"religion"	"traditions"	"traditions/family"	NA	NA
127	3	"religious"	"religion"	"traditions"	"traditions/family"	NA	NA
133	11	"devoted  "	"religion"	"traditions"	"traditions/family"	NA	NA
36	5	"faithful (three-fold path:  Buddha, Dharma, Sangha)"	"religion"	"traditions"	"traditions/family"	"nosy"	"nosy"
102	4	"believing"	"religion"	"religion"	"religion"	"two-faced"	"untrustworthy"
1	1	"respectful"	"respectful"	"respectful"	"respectful"	"alcohol"	"alcohol"
30	3	"respectful"	"respectful"	"respectful"	"respectful"	"drunk"	"alcohol"
122	2	"respecting elders"	"respectful"	"traditions"	"traditions/family"	"quarrrelsom"	"violent"
5	2	"respect"	"respectful"	"respectful"	"respectful"	"hard-heartedness"	"cold"
17	1	"respectful"	"respectful"	"respectful"	"respectful"	"cruelty"	"cruel"
23	3	"respectful"	"respectful"	"respectful"	"respectful"	"disrespect for older people"	"disrespect"
211	4	"respectful"	"respectful"	"respectful"	"respectful"	"not respectful"	"disrespect"
3	2	"respect"	"respectful"	"respectful"	"respectful"	"drugs"	"drugs"
103	5	"respectful"	"respectful"	"respectful"	"respectful"	"envious"	"envious"
4	3	"respect"	"respectful"	"respectful"	"respectful"	"gossip"	"gossip"
15	3	"respect for old people"	"respectful"	"traditions"	"traditions/family"	"greediness"	"greedy"
19	1	"respectful"	"respectful"	"respectful"	"respectful"	"greediness"	"greedy"
119	2	"respecting elders"	"respectful"	"traditions"	"traditions/family"	"not knowing the rites"	"disrespect customs"
125	5	"respecting big people"	"respectful"	"traditions"	"traditions/family"	"doesn’t know Tuvan customs/rites"	"disrespect customs"
204	2	"respectful"	"respectful"	"respectful"	"respectful"	"stupid"	"lacks knowledge"
206	4	"respectful"	"respectful"	"respectful"	"respectful"	"stupid"	"lacks knowledge"
224	6	"respectful"	"respectful"	"respectful"	"respectful"	"harebrained"	"lacks knowledge"
36	9	"respectful"	"respectful"	"respectful"	"respectful"	"lazy path"	"lazy"
128	2	"respectful to big people, "	"respectful"	"traditions"	"traditions/family"	"lazy"	"lazy"
203	3	"respectful"	"respectful"	"respectful"	"respectful"	"no desire to work"	"lazy"
7	4	"respect"	"respectful"	"respectful"	"respectful"	"???"	"miscellaneous"
10	2	"respectful"	"respectful"	"respectful"	"respectful"	NA	NA
38	5	"respecting one’s culture and history"	"respectful"	"traditions"	"traditions/family"	NA	NA
39	6	"respectful of friends’ happiness"	"respectful"	"respectful"	"respectful"	NA	NA
119	5	"respectful way/path."	"respectful"	"respectful"	"respectful"	NA	NA
121	7	"respectful"	"respectful"	"respectful"	"respectful"	NA	NA
223	3	"respectful"	"respectful"	"respectful"	"respectful"	"now that there are homeless people, not teaching the Tuvan ways"	"disrespect customs"
8	2	"respectful"	"respectful"	"respectful"	"respectful"	"theft"	"steal"
28	4	"respecting older and younger people"	"respectful"	"traditions"	"traditions/family"	"theft"	"steal"
29	4	"respectful of elders"	"respectful"	"traditions"	"traditions/family"	"theft"	"steal"
226	6	"not rude/sharp-tongued"	"respectful"	"respectful"	"respectful"	"suck-up/ass-kiss"	"suck-up"
230	2	"respectful"	"respectful"	"respectful"	"respectful"	"suck-up/ass-kiss"	"suck-up"
2	1	"respect"	"respectful"	"respectful"	"respectful"	"falsity"	"untrustworthy"
25	6	"respectful"	"respectful"	"respectful"	"respectful"	"sly"	"untrustworthy"
28	3	"respectful"	"respectful"	"respectful"	"respectful"	"falsity"	"untrustworthy"
118	2	"respectful"	"respectful"	"respectful"	"respectful"	"liar"	"untrustworthy"
216	4	"respectful"	"respectful"	"respectful"	"respectful"	"fake/two-faced"	"untrustworthy"
226	4	"respectful"	"respectful"	"respectful"	"respectful"	"fake/two-faced"	"untrustworthy"
126	4	"responsible"	"responsible"	"responsible"	"responsible"	"only looking out for yourself"	"conceit"
7	6	"responsible"	"responsible"	"responsible"	"responsible"	"cowardice"	"cowardice"
220	4	"responsible"	"responsible"	"responsible"	"responsible"	"lazy"	"lazy"
6	8	"responsible"	"responsible"	"responsible"	"responsible"	NA	NA
15	5	"resposibility"	"responsible"	"responsible"	"responsible"	"not love own children"	"no family connection"
133	7	"careful of one's self"	"self-helping"	"self-helping"	"self-helping"	"cruel"	"cruel"
215	1	"self-helping"	"self-helping"	"self-helping"	"self-helping"	"envious"	"envious"
202	6	"self-helping"	"self-helping"	"self-helping"	"self-helping"	NA	NA
126	2	"doesn’t smoke"	"smoking"	"smoking"	"smoking"	"drinks"	"alcohol"
1	5	"not a smoker"	"smoking"	"smoking"	"smoking"	"gossip"	"gossip"
229	5	"doesn’t smoke"	"smoking"	"smoking"	"smoking"	"no descendent"	"no family connection"
3	3	"not smoking"	"smoking"	"smoking"	"smoking"	"cigarrettes"	"smokes"
230	1	"wrestles"	"strong"	"strong"	"strong"	"greediness"	"greedy"
102	2	"strong"	"strong"	"strong"	"strong"	"back-biting"	"untrustworthy"
201	2	"talented"	"talented"	"talented"	"talented"	"lazy"	"lazy"
204	6	"talented"	"talented"	"talented"	"talented"	"not studious/industrious"	"lazy"
133	1	"keeps promises"	"trustworthy"	"trustworthy"	"trustworthy"	"tendency toward araga"	"alcohol"
134	5	"trustworthy"	"trustworthy"	"trustworthy"	"trustworthy"	"loving oneself"	"conceit"
25	3	"keeping promises"	"trustworthy"	"trustworthy"	"trustworthy"	"empty-headedness"	"lacks knowledge"
33	4	"well-behaved, disciplined way"	"well-raised"	"well-raised"	"well-raised"	"drinking araga"	"alcohol"
40	7	"Well-behaved"	"well-raised"	"well-raised"	"well-raised"	"black intentions"	"bad (mental)"
5	4	"good breeding"	"well-raised"	"well-raised"	"well-raised"	"egoism"	"conceit"
209	5	"well-raised"	"well-raised"	"well-raised"	"well-raised"	"shy/cowardly"	"cowardice"
11	2	"well-bred"	"well-raised"	"well-raised"	"well-raised"	"greediness"	"greedy"
105	4	"Well-behaved-disciplined"	"well-raised"	"well-raised"	"well-raised"	"desires a lot"	"greedy"
134	6	"well-behaved"	"well-raised"	"well-raised"	"well-raised"	"greedy"	"greedy"
210	3	"well-raised"	"well-raised"	"well-raised"	"well-raised"	"lazy"	"lazy"
26	3	"well-bred"	"well-raised"	"well-raised"	"well-raised"	NA	NA
39	3	"Well-behaved-disciplined"	"well-raised"	"well-raised"	"well-raised"	NA	NA
41	9	"Well-behaved-disciplined"	"well-raised"	"well-raised"	"well-raised"	NA	NA
40	5	"Well-raised"	"well-raised"	"well-raised"	"well-raised"	"liar"	"untrustworthy"
103	3	"Well-behaved-disciplined"	"well-raised"	"well-raised"	"well-raised"	"back-biting"	"untrustworthy"
126	5	"well-raised"	"well-raised"	"well-raised"	"well-raised"	"fake/two-faced"	"untrustworthy"
133	6	"Well-behaved-disciplined"	"well-raised"	"well-raised"	"well-raised"	"uses other people"	"untrustworthy"
